"","ds","dep_var","competitors","season","trend","tv","paid_search","social","display","intercept","depVarHat","solID","cluster","top_sol"
"1",2020-01-05,53860.7028031362,-3185.67229990945,0,2780.77867671273,189.179481320188,3329.65371220685,0,2214.50580579742,41983.2584523826,47311.7038285103,"1_234_1",4,FALSE
"2",2020-01-12,46040.4685293852,-2498.23558127827,111.395479440177,2808.86735021488,157.440912889176,3685.26096582373,0,2474.72142374332,41983.2584523826,48722.7090032156,"1_234_1",4,FALSE
"3",2020-01-19,53862.8885766267,-4073.84550729079,222.342863124984,2836.95602371703,200.973954303483,3311.68011704302,0,3565.12312199291,41983.2584523826,48046.4890252732,"1_234_1",4,FALSE
"4",2020-01-26,45818.2712154618,-2565.54081928026,332.395857794155,2865.04469721918,147.026731073516,3534.79583801121,0,3937.76185654477,41983.2584523826,50234.7426137452,"1_234_1",4,FALSE
"5",2020-02-02,47954.3511902067,-3241.18810687348,441.111767926966,2893.13337072133,84.7950964334701,4141.2336427069,0,2184.6714935777,41983.2584523826,48487.0157168755,"1_234_1",4,FALSE
"6",2020-02-09,56180.1226129823,-3121.18431002461,548.053276514537,2921.22204422348,131.473087879008,4346.12456514408,0,3997.88993903248,41983.2584523826,50806.8370551516,"1_234_1",4,FALSE
"7",2020-02-16,48811.9698633671,-4049.6124790742,652.790204196703,2949.31071772562,212.197931283621,4058.62101687862,0,3676.24456216378,41983.2584523826,49482.8104055567,"1_234_1",4,FALSE
"8",2020-02-23,54301.5670551237,-2118.96588672299,754.901239687219,2977.39939122777,156.016082435987,3665.28392907603,0,2348.54674456453,41983.2584523826,49766.4399526511,"1_234_1",4,FALSE
"9",2020-03-01,48689.6571190451,-3005.72460370632,853.975634526546,3005.48806472992,104.794252721478,3658.69771513121,0,4005.0228127017,41983.2584523826,50605.5123284871,"1_234_1",4,FALSE
"10",2020-03-08,42270.8343277066,-3266.26252473496,949.614855344961,3033.57673823207,99.2431967483487,3640.44480089202,0,2880.69256931351,41983.2584523826,49320.5680881785,"1_234_1",4,FALSE
"11",2020-03-15,45912.0231743738,-3117.89195046116,1041.43418698965,3061.66541173422,150.464501008541,3361.44487374501,0,2340.70820700747,41983.2584523826,48821.0836824063,"1_234_1",4,FALSE
"12",2020-03-22,44842.4447626788,-3270.20606841107,1129.06428006711,3089.75408523637,173.028768568302,4178.31987201966,0,3893.46294613888,41983.2584523826,51176.6823360018,"1_234_1",4,FALSE
"13",2020-03-29,47759.5495918668,-3782.72190207762,1212.15263667573,3117.84275873852,123.413045092487,4058.0381879413,0,2777.84978256647,41983.2584523826,49489.8329613195,"1_234_1",4,FALSE
"14",2020-04-05,48429.9740823529,-2718.54163593662,1290.36502835216,3145.93143224067,62.3154185353073,3584.65100195285,0,3032.16187965412,41983.2584523826,50380.1415771811,"1_234_1",4,FALSE
